+----------+-------+
| Taxi ID  | Trips |
+----------+-------+
| 20000080 | 10746 |
| 20000403 | 9238  |
| 20000066 | 8449  |
| 20000364 | 7821  |
| 20000483 | 7729  |
| 20000129 | 7609  |
| 20000307 | 7498  |
| 20000621 | 7276  |
| 20000089 | 7267  |
| 20000424 | 7176  |
| 20000492 | 7171  |
| 20000529 | 6937  |
| 20000616 | 6924  |
| 20000678 | 6538  |
| 20000372 | 6535  |
| 20000304 | 6505  |
| 20000042 | 6467  |
| 20000325 | 6460  |
| 20000179 | 6430  |
| 20000235 | 6410  |
+----------+-------+
