+----------+----------+-----------+
|  taxiId  | callType | callCount |
+----------+----------+-----------+
| 20000001 |    B     |   1293    |
| 20000002 |    B     |   1555    |
| 20000003 |    C     |    859    |
| 20000004 |    B     |   2647    |
| 20000005 |    B     |   2942    |
| 20000006 |    B     |   1686    |
| 20000007 |    B     |   2738    |
| 20000008 |    B     |   2605    |
| 20000009 |    B     |   2064    |
| 20000010 |    B     |   2819    |
| 20000011 |    B     |   2599    |
| 20000012 |    B     |   2234    |
| 20000013 |    B     |   2549    |
| 20000014 |    B     |   2507    |
| 20000015 |    B     |   2795    |
| 20000017 |    B     |   1111    |
| 20000018 |    B     |    947    |
| 20000020 |    B     |   2289    |
| 20000021 |    B     |   1873    |
| 20000022 |    B     |   1944    |
| 20000023 |    B     |   1330    |
| 20000024 |    B     |    746    |
| 20000026 |    B     |   1381    |
| 20000027 |    B     |   1351    |
| 20000030 |    B     |   2220    |
| 20000031 |    B     |   2802    |
| 20000032 |    B     |   1423    |
| 20000036 |    C     |   1646    |
| 20000037 |    C     |   1686    |
| 20000038 |    C     |   1769    |
| 20000039 |    B     |   2158    |
| 20000040 |    B     |   1753    |
| 20000041 |    B     |   2200    |
| 20000042 |    B     |   2568    |
| 20000044 |    B     |   1674    |
| 20000045 |    B     |   1331    |
| 20000046 |    B     |   1450    |
| 20000047 |    B     |   1663    |
| 20000048 |    B     |   1462    |
| 20000049 |    B     |   1314    |
| 20000050 |    B     |   1165    |
| 20000051 |    B     |   2298    |
| 20000053 |    B     |   1757    |
| 20000054 |    B     |   2104    |
| 20000055 |    B     |   1233    |
| 20000057 |    B     |   2421    |
| 20000058 |    B     |   2439    |
| 20000060 |    B     |   1995    |
| 20000065 |    B     |    899    |
| 20000066 |    C     |   5087    |
| 20000067 |    B     |   2782    |
| 20000068 |    B     |   1484    |
| 20000071 |    B     |    882    |
| 20000072 |    B     |    575    |
| 20000073 |    B     |   1229    |
| 20000074 |    B     |   1622    |
| 20000075 |    B     |   1862    |
| 20000076 |    C     |   1594    |
| 20000077 |    C     |   2382    |
| 20000079 |    B     |    59     |
| 20000080 |    C     |   8389    |
| 20000081 |    B     |   2430    |
| 20000083 |    B     |   1516    |
| 20000084 |    B     |   1423    |
| 20000085 |    B     |   1715    |
| 20000086 |    B     |   1874    |
| 20000089 |    B     |   3171    |
| 20000092 |    B     |   2099    |
| 20000093 |    B     |   1193    |
| 20000094 |    B     |   1167    |
| 20000095 |    B     |    845    |
| 20000098 |    B     |    928    |
| 20000099 |    B     |   1661    |
| 20000100 |    B     |   1592    |
| 20000101 |    B     |   2348    |
| 20000104 |    C     |   1147    |
| 20000105 |    C     |   1916    |
| 20000107 |    B     |   1925    |
| 20000108 |    C     |   3323    |
| 20000109 |    B     |   2096    |
| 20000111 |    B     |   1797    |
| 20000112 |    C     |   2125    |
| 20000113 |    B     |   1798    |
| 20000114 |    B     |   2336    |
| 20000116 |    B     |   2116    |
| 20000118 |    B     |   1573    |
| 20000119 |    B     |   1560    |
| 20000120 |    B     |   3105    |
| 20000121 |    C     |    692    |
| 20000123 |    B     |   1898    |
| 20000126 |    B     |   1779    |
| 20000128 |    B     |   1425    |
| 20000129 |    B     |   3455    |
| 20000131 |    B     |   1633    |
| 20000136 |    C     |   2890    |
| 20000137 |    B     |   2136    |
| 20000138 |    B     |   1762    |
| 20000140 |    B     |   3771    |
| 20000142 |    B     |   1902    |
| 20000144 |    B     |   1688    |
| 20000146 |    B     |   1899    |
| 20000148 |    B     |   1638    |
| 20000151 |    B     |   2117    |
| 20000152 |    B     |   1010    |
| 20000153 |    B     |   2333    |
| 20000154 |    B     |   2979    |
| 20000156 |    B     |   1834    |
| 20000157 |    A     |   1909    |
| 20000158 |    B     |   1817    |
| 20000159 |    C     |   1174    |
| 20000160 |    B     |   2354    |
| 20000161 |    B     |   1955    |
| 20000163 |    C     |   2194    |
| 20000166 |    B     |   1959    |
| 20000167 |    A     |   2123    |
| 20000170 |    B     |     5     |
| 20000171 |    B     |   2900    |
| 20000172 |    A     |    806    |
| 20000173 |    B     |   2380    |
| 20000174 |    B     |   2036    |
| 20000177 |    B     |   1997    |
| 20000178 |    B     |   1629    |
| 20000179 |    B     |   2576    |
| 20000180 |    B     |   1414    |
| 20000184 |    B     |   2526    |
| 20000185 |    B     |    430    |
| 20000186 |    B     |   1346    |
| 20000187 |    B     |   2217    |
| 20000188 |    B     |   2199    |
| 20000189 |    B     |   1247    |
| 20000190 |    B     |   1408    |
| 20000192 |    B     |   1881    |
| 20000195 |    B     |   3242    |
| 20000196 |    C     |   1830    |
| 20000197 |    B     |   2381    |
| 20000198 |    B     |   1534    |
| 20000199 |    B     |   3236    |
| 20000201 |    B     |   1900    |
| 20000205 |    C     |    877    |
| 20000206 |    B     |   1657    |
| 20000207 |    C     |   1853    |
| 20000213 |    B     |   1444    |
| 20000215 |    B     |   1910    |
| 20000216 |    B     |   2380    |
| 20000217 |    B     |   1203    |
| 20000222 |    B     |   1823    |
| 20000224 |    B     |   2220    |
| 20000225 |    C     |    531    |
| 20000226 |    B     |   1497    |
| 20000229 |    B     |   1994    |
| 20000230 |    B     |   1615    |
| 20000231 |    B     |   1290    |
| 20000233 |    B     |   3293    |
| 20000235 |    B     |   3192    |
| 20000239 |    B     |   2394    |
| 20000242 |    B     |   2443    |
| 20000243 |    B     |   1765    |
| 20000245 |    B     |   2333    |
| 20000246 |    B     |   1313    |
| 20000247 |    B     |   1369    |
| 20000248 |    B     |    269    |
| 20000249 |    B     |   2389    |
| 20000250 |    B     |   1769    |
| 20000251 |    B     |   1906    |
| 20000252 |    C     |   1894    |
| 20000254 |    B     |   2603    |
| 20000255 |    B     |   2043    |
| 20000256 |    B     |   2024    |
| 20000257 |    B     |   1189    |
| 20000258 |    A     |   1223    |
| 20000260 |    B     |   1840    |
| 20000261 |    B     |   1685    |
| 20000263 |    C     |   3057    |
| 20000264 |    C     |     2     |
| 20000267 |    B     |   1931    |
| 20000268 |    B     |   2790    |
| 20000269 |    B     |   2448    |
| 20000271 |    B     |   2196    |
| 20000272 |    B     |   1550    |
| 20000273 |    B     |   3330    |
| 20000276 |    C     |   3447    |
| 20000279 |    A     |   1326    |
| 20000280 |    B     |   1700    |
| 20000281 |    B     |   1727    |
| 20000285 |    B     |   3522    |
| 20000286 |    C     |   1342    |
| 20000288 |    B     |   1795    |
| 20000289 |    B     |    866    |
| 20000294 |    B     |   1284    |
| 20000295 |    B     |   1200    |
| 20000296 |    B     |   1346    |
| 20000297 |    C     |   2644    |
| 20000303 |    B     |   2628    |
| 20000304 |    C     |   4006    |
| 20000305 |    B     |   2934    |
| 20000307 |    C     |   3354    |
| 20000308 |    B     |   2751    |
| 20000309 |    B     |   1702    |
| 20000310 |    C     |   2753    |
| 20000311 |    B     |   2252    |
| 20000312 |    C     |    407    |
| 20000314 |    B     |   1511    |
| 20000315 |    B     |    861    |
| 20000319 |    B     |   1553    |
| 20000320 |    C     |   2798    |
| 20000321 |    B     |   2097    |
| 20000324 |    B     |   3015    |
| 20000325 |    B     |   3622    |
| 20000326 |    B     |   1782    |
| 20000327 |    B     |   2012    |
| 20000328 |    B     |   3401    |
| 20000329 |    B     |   1200    |
| 20000330 |    B     |   1358    |
| 20000331 |    B     |   2379    |
| 20000332 |    B     |   2006    |
| 20000333 |    B     |   2286    |
| 20000334 |    B     |   2096    |
| 20000337 |    C     |   2438    |
| 20000338 |    B     |   2089    |
| 20000340 |    B     |   1143    |
| 20000341 |    B     |   2324    |
| 20000342 |    B     |   1302    |
| 20000343 |    B     |   2473    |
| 20000344 |    C     |   1918    |
| 20000345 |    B     |   3393    |
| 20000346 |    A     |   1170    |
| 20000347 |    B     |   1215    |
| 20000349 |    B     |   1717    |
| 20000351 |    C     |   3315    |
| 20000352 |    B     |   1515    |
| 20000353 |    A     |   1214    |
| 20000356 |    C     |   2092    |
| 20000359 |    B     |   3296    |
| 20000360 |    B     |   2857    |
| 20000361 |    B     |   2182    |
| 20000362 |    B     |   1471    |
| 20000363 |    C     |   2132    |
| 20000364 |    C     |   4577    |
| 20000367 |    B     |   2947    |
| 20000370 |    B     |   2407    |
| 20000372 |    C     |   2906    |
| 20000373 |    B     |    979    |
| 20000376 |    C     |   2044    |
| 20000377 |    B     |   1288    |
| 20000380 |    B     |   1522    |
| 20000381 |    B     |   1734    |
| 20000383 |    B     |   1547    |
| 20000384 |    B     |   1648    |
| 20000386 |    B     |   2129    |
| 20000387 |    B     |   1681    |
| 20000388 |    B     |   1632    |
| 20000389 |    B     |   1558    |
| 20000391 |    B     |   2284    |
| 20000392 |    B     |   2514    |
| 20000393 |    C     |   1358    |
| 20000395 |    C     |   3042    |
| 20000397 |    B     |   1082    |
| 20000398 |    B     |   2095    |
| 20000400 |    B     |   1515    |
| 20000403 |    C     |   4780    |
| 20000406 |    B     |   2544    |
| 20000407 |    B     |    823    |
| 20000408 |    B     |   1078    |
| 20000409 |    B     |   2159    |
| 20000410 |    B     |   1327    |
| 20000419 |    B     |   1917    |
| 20000421 |    B     |   2142    |
| 20000423 |    B     |   2677    |
| 20000424 |    B     |   2701    |
| 20000426 |    B     |   1976    |
| 20000429 |    B     |   2792    |
| 20000430 |    B     |   2138    |
| 20000431 |    B     |   2535    |
| 20000432 |    C     |   1214    |
| 20000434 |    B     |   2489    |
| 20000435 |    B     |   2945    |
| 20000436 |    C     |   2332    |
| 20000440 |    B     |   2113    |
| 20000443 |    B     |    747    |
| 20000446 |    B     |   2938    |
| 20000448 |    B     |   1294    |
| 20000449 |    B     |    522    |
| 20000450 |    B     |   2945    |
| 20000451 |    B     |   2098    |
| 20000452 |    B     |   1616    |
| 20000453 |    B     |   1780    |
| 20000454 |    B     |   2163    |
| 20000455 |    C     |   2343    |
| 20000456 |    C     |   1218    |
| 20000458 |    B     |   1090    |
| 20000460 |    B     |   1825    |
| 20000463 |    C     |   2152    |
| 20000464 |    B     |   1055    |
| 20000465 |    B     |   1481    |
| 20000467 |    C     |   2676    |
| 20000468 |    B     |   1440    |
| 20000470 |    B     |   1710    |
| 20000472 |    B     |   2894    |
| 20000473 |    B     |   2226    |
| 20000476 |    B     |   2588    |
| 20000477 |    C     |   1290    |
| 20000480 |    B     |   1574    |
| 20000481 |    B     |   2085    |
| 20000482 |    B     |   2423    |
| 20000483 |    C     |   3494    |
| 20000484 |    B     |   1200    |
| 20000486 |    B     |   2239    |
| 20000487 |    B     |   1027    |
| 20000488 |    A     |   1673    |
| 20000492 |    B     |   3599    |
| 20000494 |    C     |   1518    |
| 20000495 |    B     |   1443    |
| 20000496 |    C     |   1532    |
| 20000497 |    B     |   2128    |
| 20000499 |    B     |   1249    |
| 20000500 |    B     |   1975    |
| 20000502 |    B     |   1269    |
| 20000503 |    B     |   2792    |
| 20000504 |    B     |   1614    |
| 20000506 |    B     |   2357    |
| 20000507 |    B     |   1194    |
| 20000508 |    B     |   1522    |
| 20000509 |    C     |   1689    |
| 20000510 |    C     |    416    |
| 20000513 |    B     |   1926    |
| 20000514 |    B     |   3386    |
| 20000515 |    B     |   2212    |
| 20000516 |    B     |   1596    |
| 20000517 |    B     |   3045    |
| 20000518 |    B     |   2698    |
| 20000520 |    C     |   2510    |
| 20000521 |    B     |   1399    |
| 20000523 |    B     |   1265    |
| 20000524 |    B     |   2168    |
| 20000525 |    B     |   2241    |
| 20000527 |    B     |   1392    |
| 20000529 |    C     |   3984    |
| 20000534 |    C     |   1500    |
| 20000535 |    B     |    810    |
| 20000539 |    B     |   1108    |
| 20000540 |    C     |   2551    |
| 20000541 |    B     |   2246    |
| 20000542 |    B     |   3382    |
| 20000543 |    C     |    843    |
| 20000545 |    B     |    714    |
| 20000546 |    B     |   1799    |
| 20000547 |    B     |   1337    |
| 20000548 |    C     |   1673    |
| 20000549 |    B     |   2004    |
| 20000554 |    B     |   2272    |
| 20000557 |    B     |   1787    |
| 20000560 |    B     |   2693    |
| 20000561 |    B     |   2539    |
| 20000562 |    B     |   1916    |
| 20000565 |    B     |   1630    |
| 20000569 |    C     |   2387    |
| 20000570 |    B     |   1604    |
| 20000571 |    B     |   2160    |
| 20000572 |    B     |   1925    |
| 20000574 |    C     |   3449    |
