+----------+-------------+------------------+
| Taxi ID  | Total Hours | Total Kilometers |
+----------+-------------+------------------+
| 20000904 |   1961.08   |     31975.54     |
| 20000129 |   1649.78   |     21918.09     |
| 20000307 |   1587.10   |     21781.0      |
| 20000529 |   1507.30   |     22038.91     |
| 20000276 |   1419.88   |     26339.71     |
| 20000436 |   1410.69   |     23825.51     |
| 20000483 |   1397.71   |     22490.6      |
| 20000372 |   1387.13   |     22695.48     |
| 20000616 |   1349.14   |     19616.07     |
| 20000179 |   1324.29   |     22676.82     |
| 20000574 |   1301.93   |     19536.73     |
| 20000235 |   1287.88   |     22544.81     |
| 20000621 |   1282.43   |     20495.57     |
| 20000364 |   1280.50   |     24766.52     |
| 20000435 |   1277.58   |     20862.39     |
| 20000199 |   1270.79   |     22710.05     |
| 20000446 |   1266.63   |     18343.12     |
| 20000011 |   1266.12   |     23364.77     |
| 20000395 |   1263.80   |     18879.76     |
| 20000492 |   1262.57   |     20715.22     |
| 20000540 |   1253.02   |     22738.54     |
| 20000042 |   1251.62   |     20110.72     |
| 20000648 |   1249.90   |     22638.03     |
| 20000403 |   1249.16   |     27160.91     |
| 20000678 |   1245.94   |     25383.5      |
| 20000233 |   1234.03   |     20365.63     |
| 20000304 |   1218.36   |     19390.27     |
| 20000455 |   1217.55   |     15982.42     |
| 20000136 |   1211.70   |     21572.65     |
| 20000249 |   1208.08   |     21194.44     |
| 20000297 |   1197.31   |     21183.51     |
| 20000367 |   1197.02   |     21755.13     |
| 20000263 |   1196.11   |     23133.99     |
| 20000239 |   1194.79   |     22252.47     |
| 20000320 |   1192.53   |     24053.78     |
| 20000688 |   1191.58   |     19241.35     |
| 20000009 |   1190.41   |     16742.5      |
| 20000607 |   1181.28   |     10923.85     |
| 20000542 |   1179.14   |     22172.09     |
| 20000337 |   1175.70   |     21046.83     |
| 20000205 |   1173.18   |     2487.42      |
| 20000140 |   1172.38   |     23144.3      |
| 20000486 |   1171.40   |     24296.92     |
| 20000424 |   1168.62   |     24451.98     |
| 20000116 |   1168.50   |     14532.07     |
| 20000325 |   1161.60   |     21442.11     |
| 20000617 |   1161.31   |     18688.13     |
