   TaxiA    TaxiB
20000207 20000588
20000380 20000516
20000017 20000464
20000012 20000120
20000031 20000362
20000239 20000311
20000256 20000480
20000068 20000429
20000140 20000305
20000010 20000424
20000144 20000424
20000142 20000351
20000235 20000542
20000408 20000470
20000007 20000126
20000086 20000419
20000119 20000367
20000195 20000362
20000360 20000429
20000024 20000480
20000046 20000239
20000120 20000188
20000249 20000598
20000364 20000548
20000004 20000013
20000174 20000424
20000003 20000542
20000137 20000542
20000250 20000419
20000126 20000383
20000128 20000429
20000281 20000671
20000188 20000480
20000303 20000430
20000129 20000250
20000167 20000542
20000013 20000075
20000472 20000589
20000047 20000625
20000026 20000502
20000007 20000260
20000449 20000605
20000146 20000604
20000352 20000672
20000085 20000328
20000424 20000548
20000066 20000086
20000310 20000446
20000217 20000255
20000060 20000271
20000008 20000081
20000560 20000594
20000482 20000903
20000114 20000507
20000077 20000625
20000171 20000260
20000138 20000312
20000002 20000451
20000456 20000621
20000363 20000430
20000074 20000327
20000120 20000672
20000464 20000482
20000192 20000548
20000247 20000255
20000326 20000548
20000004 20000497
20000038 20000081
20000243 20000513
20000224 20000271
20000229 20000615
20000075 20000148
20000608 20000611
20000410 20000626
20000294 20000451
20000247 20000605
20000321 20000554
20000395 20000503
20000051 20000693
20000032 20000451
20000109 20000671
20000224 20000621
20000279 20000328
20000009 20000467
20000296 20000497
20000086 20000687
20000048 20000395
20000108 20000446
20000273 20000513
20000424 20000682
20000372 20000492
20000083 20000389
20000157 20000338
20000349 20000508
20000005 20000698
20000483 20000508
20000101 20000406
20000541 20000678
20000574 20000626
20000233 20000333
20000351 20000554
20000136 20000400
20000180 20000672
20000254 20000621
20000328 20000570
20000309 20000328
20000039 20000467
20000388 20000621
20000041 20000513
20000187 20000338
20000307 20000632
20000021 20000046
20000480 20000560
20000038 20000215
20000571 20000678
20000263 20000333
20000304 20000334
20000015 20000231
20000094 20000524
20000042 20000334
20000166 20000400
20000242 20000395
20000321 20000688
20000508 20000514
20000337 20000632
20000075 20000632
20000161 20000406
20000199 20000698
20000314 20000648
20000047 20000304
20000198 20000473
20000022 20000247
20000027 20000591
20000008 20000349
20000084 20000344
20000216 20000463
20000276 20000514
20000006 20000653
20000114 20000186
20000100 20000288
20000344 20000648
20000325 20000406
20000077 20000304
20000517 20000576
20000154 20000524
